title,authors,fim_authors,date,journal,volume,pages,book_title,publisher,abstract,data_loc,code_loc,type,doi,project_id
Echo - planar magnetic resonance imaging of human brain activation,"Peter Bandettini, E. Wong",peter_bandettini,1997-01-01,,,493-530,,,,,,book_chapter,,
Functional MRI of brain activation induced by scanner acoustic noise,"Peter Bandettini, J. Jesmanowicz, J. Kylen, R. Birn, J. Hyde","peter_bandettini, rasmus_birn",1998-01-01,Magn. Reson. Med.,39.0,410-416,,,,,,journal_article,,
Functional magnetic resonance imaging in partial epilepsy,"G. III, W. Mueller, F. Yetkin, V. Haughton, T. Hammeke, S. Swanson, S. Rao, A. Jesmanowicz, L. Estkowski, Peter Bandettini",peter_bandettini,1994-01-01,Epilepsia,35.0,1194-1198,,,,,,journal_article,,
Noise reduction in multi-slice arterial spin tagging imaging,"K. Lawrence, J. Frank, Peter Bandettini, F. Ye",peter_bandettini,2005-01-01,Magnetic Resonance in Medicine,53.0,735-738,,,,,,journal_article,,
"Characterizing and utilizing fMRI fluctuations, patterns, and dynamics","Peter Bandettini, P. Kundu, J. Gonzalez-Castillo, M. Misaki, P. Guillod","peter_bandettini, prantik_kundu, javier_gonzalez-castillo, misaya_misaki, paul_guillod",2013-01-01,SPIE Proceedings Medical Imaging,,,,,"<p>Functional MRI is fundamentally grounded in the hemodynamic response. With an increase in neuronal activity, blood flow increases, causing an increase in blood oxygenation, leading to an increase in transverse relaxation rate T2*. This increase in blood flow is slow and highly variable and shows a considerable spatial heterogeneity. In spite of these limitations, the hemodynamic response has been proven to be exquisitely sensitive to subtle differences in neuronal activity in time, over space, and between subjects. This paper is a brief review of my Keynote address describing some of the effort coming from my group that further demonstrates methods to robustly extract ever more information from both resting state fMRI and activation-induced fMRI. Specifically, I discuss 1) our new method to use multi-echo fMRI time series data collection to separate blood oxygen level dependent (BOLD) signal from non-BOLD signal, 2) activation of the whole brain obtained using a simple task and, importantly massive averaging and a model-free analysis approach, and 3) fMRI decoding of left vs right eye ocular dominance column activation with a timing offset as low as 100 ms.</p>",,,journal_article,10.1117/12.2012737,
Functional MRI using the BOLD approach: applications,"Peter Bandettini, E. Wong, J. Binder, S. Rao, A. Jesmanowicz, E. Aaron, T. Lowry, H. Forster, J. Hyde, R. Hinks",peter_bandettini,1995-01-01,,,335-349,,,,,,book_chapter,,
Comparison of simultaneously measured perfusion and bold signal increases during brain activation with T1-based tissue identification,"W. Luh, E. Wong, Peter Bandettini, B. Ward, J. Hyde",peter_bandettini,2000-01-01,Magnetic Resonance in Medicine,44.0,137-143,,,,,,journal_article,,
"Brainhack: Developing a culture of open, inclusive, community-driven neuroscience","Rémi Gau, Stephanie Noble, Katja Heuer, Katherine Bottenhorn, Isil Bilgin, Yu-Fang Yang, Julia Huntenburg, Johanna Bayer, Richard Bethlehem, Shawn Rhoads, Christoph Vogelbacher, Valentina Borghesani, Elizabeth Levitis, Hao-Ting Wang, Sofie Van Den Bossche, Xenia Kobeleva, Jon Legarreta, Samuel Guay, Selim Atay, Gael Varoquaux, Dorien Huijser, Malin Sandström, Peer Herholz, Samuel Nastase, AmanPreet Badhwar, Guillaume Dumas, Simon Schwab, Stefano Moia, Michael Dayan, Yasmine Bassil, Paula Brooks, Matteo Mancini, James Shine, David O'Connor, Xihe Xie, Davide Poggiali, Patrick Friedrich, Anibal Heinsfeld, Lydia Riedl, Roberto Toro, Cesar Caballero-Gaudes, Anders Eklund, Kelly Garner, Christopher Nolan, Damion Demeter, Fernando Barrios, Junaid Merchant, Elizabeth McDevitt, Robert Oostenveld, Cameron Craddock, Ariel Rokem, Andrew Doyle, Satrajit Ghosh, Aki Nikolaidis, Olivia Stanley, Eneko Uruñuela, Nasim Anousheh, Aurina Arnatkeviciute, Guillaume Auzias, Dipankar Bachar, Elise Bannier, Ruggero Basanisi, Arshitha Basavaraj, Marco Bedini, Pierre Bellec, Austin Benn, Kathryn Berluti, Steffen Bollmann, Saskia Bollmann, Claire Bradley, Jesse Brown, Augusto Buchweitz, Patrick Callahan, Micaela Chan, Bramsh Chandio, Theresa Cheng, Sidhant Chopra, Ai Chung, Thomas Close, Etienne Combrisson, Giorgia Cona, Todd Constable, Claire Cury, Kamalaker Dadi, Pablo Damasceno, Samir Das, Fabrizio Fallani, Krista DeStasio, Erin Dickie, Lena Dorfschmidt, Eugene Duff, Elizabeth Dupre, Sarah Dziura, Nathalia Esper, Oscar Esteban, Shreyas Fadnavis, Guillaume Flandin, Jessica Flannery, John Flournoy, Stephanie Forkel, Alexandre Franco, Saampras Ganesan, Siyuan Gao, José Alanis, Eleftherios Garyfallidis, Tristan Glatard, Enrico Glerean, Javier Gonzalez-Castillo, Cassandra van Praag, Abigail Greene, Geetika Gupta, Catherine Hahn, Yaroslav Halchenko, Daniel Handwerker, Thomas Hartmann, Valérie Hayot-Sasson, Stephan Heunis, Felix Hoffstaedter, Daniela Hohmann, Corey Horien, Horea-Ioan Ioanas, Alexandru Iordan, Chao Jiang, Michael Joseph, Jason Kai, Agah Karakuzu, David Kennedy, Anisha Keshavan, Ali Khan, Gregory Kiar, Christiaan Klink, Vincent Koppelmans, Serge Koudoro, Angela Laird, Georg Langs, Marissa Laws, Roxane Licandro, Sook-Lei Liew, Tomislav Lipic, Krisanne Litinas, Daniel Lurie, Désirée Lussier, Christopher Madan, Lea-Theresa Mais, Sina L, J.P. Manzano-Patron, Dimitra Maoutsa, Matheus Marcon, Daniel Margulies, Giorgio Marinato, Daniele Marinazzo, Christopher Markiewicz, Camille Maumet, Felipe Meneguzzi, David Meunier, Michael Milham, Kathryn Mills, Davide Momi, Clara Moreau, Aysha Motala, Iska Moxon-Emre, Thomas Nichols, Dylan Nielson, Gustav Nilsonne, Lisa Novello, Caroline O'Brien, Emily Olafson, Lindsay Oliver, John Onofrey, Edwina Orchard, Kendra Oudyk, Patrick Park, Mahboobeh Parsapoor, Lorenzo Pasquini, Scott Peltier, Cyril Pernet, Rudolph Pienaar, Pedro Pinheiro-Chagas, Jean-Baptiste Poline, Anqi Qiu, Tiago Quendera, Laura Rice, Joscelin Rocha-Hidalgo, Saige Rutherford, Mathias Scharinger, Dustin Scheinost, Deena Shariq, Thomas Shaw, Viviana Siless, Molly Simmonite, Nikoloz Sirmpilatze, Hayli Spence, Julia Sprenger, Andrija Stajduhar, Martin Szinte, Sylvain Takerkart, Angela Tam, Link Tejavibulya, Michel de Schotten, Ina Thome, Laura da Silva, Nicolas Traut, Lucina Uddin, Antonino Vallesi, John VanMeter, Nandita Vijayakumar, Matteo Castello, Jakub Vohryzek, Jak_a Vukojevi_, Kirstie Whitaker, Lucy Whitmore, Steve Wideman, Suzanne Witt, Hua Xie, Ting Xu, Chao-Gan Yan, Fang-Cheng Yeh, B.T. Yeo, Xi-Nian Zuo","javier_gonzalez-castillo, dan_handwerker",2021-06-02,Neuron,109.0,1769-1775,,,"Brainhack is an innovative meeting format that promotes scientific collaboration and education in an open, inclusive environment. This NeuroView describes the myriad benefits for participants and the research community and how Brainhacks complement conventional formats to augment scientific progress.",,,journal_article,10.1016/j.neuron.2021.04.001,education
Robust resting state fMRI processing for studies on typical brain development based on multi-echo EPI acquisition,"Prantik Kundu, Brenda Benson, Katherine Baldwin, Dana Rosen, Wen-Ming Luh, Peter Bandettini, Daniel Pine, Monique Ernst","prantik_kundu, katherine_baldwin, peter_bandettini",2015-01-01,Brain Imaging and Behavior,9.0,56-73,,,,,,journal_article,10.1007/s11682-014-9346-4,multi_echo
Theta-burst TMS to the posterior superior temporal sulcus decreases resting-state fMRI connectivity across the face processing network,"Handwerker DA, Ianni G, Gutierrez B, Roopchansingh V, Gonzalez-Castillo J, Chen G, Peter Bandettini, Ungerleider LG, Pitcher D","daniel_handwerker, ben_gutierrez, javier_gonzalez-castillo, peter_bandettini",2020-01-01,Network Neuroscience,,,,,,,https://github.com/handwerkerd/MEICA_FaceNetworkTMS,journal_article,https://doi.org/10.1162/netn_a_00145,multi_echo
Variance decomposition for single-subject task-based fMRI activity estimates across many sessions,"Javier Gonzalez-Castillo, Gang Chen, Thomas Nichols, Peter Bandettini","javier_gonzalez-castillo, peter_bandettini",2017-01-01,NeuroImage,154.0,206-218,,,,https://openneuro.org/datasets/ds001553/versions/1.0.0,,journal_article,10.1016/j.neuroimage.2016.10.024,
Practical approaches to incidental findings in brain imaging research,"J. Illes, M. Kirschen, E. Edwards, Peter Bandettini, J.-K. Cho, J.-K. Cho, Glover GH, J. Kulynych, R. Macklin, Michael DB, S. Wolf, T. Grabowski, B. Seto","peter_bandettini, julia_choi",2008-01-01,Neurology,70.0,390,,,,,,journal_article,,
"Direct detection of neuronal activity with MRI: Fantasy, possibility, or reality?","Peter Bandettini, N. Petridou, J. Bodurka","peter_bandettini, natalia_petridou",2005-01-01,Applied Magnetic Resonance,29.0,65-88,,,,,,journal_article,,
"Evaluation of multi-echo ICA denoising for task based fMRI studies: Block designs, rapid event-related designs, and cardiac-gated fMRI","Javier Gonzalez-Castillo, Puja Panwar, Laura Buchanan, Cesar Caballero-Gaudes, Daniel Handwerker, David Jangraw, Valentinos Zachariou, Souheil Inati, Vinai Roopchansingh, John Derbyshire, Peter Bandettini","javier_gonzalez-castillo, puja_panwar, laura_buchanan, daniel_handwerker, david_jangraw, peter_bandettini",2016-01-01,NeuroImage,141.0,452-468,,,,,,journal_article,10.1016/j.neuroimage.2016.07.049,multi_echo
The art and science of using quality control to understand and improve fMRI data,"Joshua Teves, Javier Gonzalez-Castillo, Micah Holness, Megan Spurney, Peter Bandettini, Daniel Handwerker","joshua_teves, javier_gonzalez-castillo, micah_holness, megan_spurney, peter_bandettini, daniel_handwerker",2023-04-05,Frontiers in Neuroscience,17.0,,,,"Designing and executing a good quality control (QC) process is vital to robust and reproducible science and is often taught through hands on training. As FMRI research trends toward studies with larger sample sizes and highly automated processing pipelines, the people who analyze data are often distinct from those who collect and preprocess the data. While there are good reasons for this trend, it also means that important information about how data were acquired, and their quality, may be missed by those working at later stages of these workflows. Similarly, an abundance of publicly available datasets, where people (not always correctly) assume others already validated data quality, makes it easier for trainees to advance in the field without learning how to identify problematic data. This manuscript is designed as an introduction for researchers who are already familiar with fMRI, but who did not get hands on QC training or who want to think more deeply about QC. This could be someone who has analyzed fMRI data but is planning to personally acquire data for the first time, or someone who regularly uses openly shared data and wants to learn how to better assess data quality. We describe why good QC processes are important, explain key priorities and steps for fMRI QC, and as part of the FMRI Open QC Project, we demonstrate some of these steps by using AFNI software and AFNI's QC reports on an openly shared dataset. A good QC process is context dependent and should address whether data have the potential to answer a scientific question, whether any variation in the data has the potential to skew or hide key results, and whether any problems can potentially be addressed through changes in acquisition or data processing. Automated metrics are essential and can often highlight a possible problem, but human interpretation at every stage of a study is vital for understanding causes and potential solutions.",https://osf.io/qaesm/,https://github.com/nimh-sfim/SFIM_Frontiers_Neuroimaging_QC_Project,journal_article,10.3389/fnins.2023.1100544,education
Visual temporal frequency shows a distinct cortical architecture using fMRI,"Yuhui Chai, Daniel Handwerker, Sean Marrett, Javier Gonzalez-Castillo, EP Merriam, A Hall, Peter Molfese, Peter Bandettini","yuhui_chai, daniel_handwerker, javier_gonzalez-castillo, harry_hall, peter_molfese, peter_bandettini",2019-01-01,NeuroImage,,,,,,,,journal_article,,
Imaging cortical anatomy by high-resolution MR at 3.0T: Detection of the stripe of Gennari in visual area 17,"E. Barbier, S. Marrett, A. Danek, A. Vortmeyer, P. Gelderen, J. Duyn, J. Grafman, Peter Bandettini, A. Koretsky",peter_bandettini,2002-01-01,Magnetic Resonance in Medicine,48.0,735-738,,,,,,journal_article,,
A unifying model for discordant and concordant results in human neuroimaging studies of facial viewpoint selectivity,"Cambria Revsine, Javier Gonzalez-Castillo, Elisha Merriam, Peter Bandettini, Fernando Ramirez","javier_gonzalez-castillo, peter_bandettini, fernando_ramirez",2024-01-01,Journal of Neuroscience,44.0,,,,"<p>Our ability to recognize faces regardless of viewpoint is a key property of the primate visual system. Traditional theories hold that facial viewpoint is represented by view-selective mechanisms at early visual processing stages and that representations become increasingly tolerant to viewpoint changes in higher-level visual areas. Newer theories, based on single-neuron monkey electrophysiological recordings, suggest an additional intermediate processing stage invariant to mirror-symmetric face views. Consistent with traditional theories, human studies combining neuroimaging and multivariate pattern analysis (MVPA) methods have provided evidence of view-selectivity in early visual cortex. However, contradictory results have been reported in higher-level visual areas concerning the existence in humans of mirror-symmetrically tuned representations. We believe these results reflect low-level stimulus confounds and data analysis choices. To probe for low-level confounds, we analyzed images from two popular face databases. Analyses of mean image luminance and contrast revealed biases across face views described by even polynomials, - i.e., mirror-symmetric. To explain major trends across human neuroimaging studies of viewpoint selectivity, we constructed a network model that incorporates three biological constraints: cortical magnification, convergent feedforward projections, and interhemispheric connections. Given the identified low-level biases, we show that a gradual increase of interhemispheric connections across network layers is sufficient to replicate findings of mirror-symmetry in high-level processing stages, as well as view-tuning in early processing stages. Data analysis decisions - pattern dissimilarity measure and data recentering - accounted for the variable observation of mirror-symmetry in late processing stages. The model provides a unifying explanation of MVPA studies of viewpoint selectivity. We also show how common analysis choices can lead to erroneous conclusions.</p>",,https://github.com/toporam/model-crossings,journal_article,https://doi.org/10.1523/JNEUROSCI.0296-23.2024,
Spin-echo and gradient-echo EPI of human brain activation using BOLD contrast: A comparative study at 1.5 T,"Peter Bandettini, E. Wong, A. Jesmanowicz, R. Hinks, J. Hyde",peter_bandettini,1994-01-01,NMR in Biomedicine,7.0,20-Dec,,,,,,journal_article,,
Trouble at rest: how correlation patterns and group differences become distorted after global signal regression,"S. Chen, H. Jo, M. Cox",hang_jo,2012-01-01,Brain Connectivity,2.0,25-32,,,,,,journal_article,,
Event-related fMRI of tasks involving brief motion,"R. Birn, Peter Bandettini, R. Cox, R. Shaker","rasmus_birn, peter_bandettini",1999-01-01,Human Brain Mapping,7.0,106-114,,,,,,journal_article,,
Weight - space mapping of fMRI motor tasks: evidence for nested neural networks,"J. Caplan, Peter Bandettini, J. Sutton",peter_bandettini,1997-01-01,Computational Neuroscience 96,,585-589,,,,,,journal_article,,
fMRI detection and time course of distributed cortical activations during single trials of a cognitive task,"R. Buckner, Peter Bandettini, K. O'Craven, R. Savoy, S. Peterson, M. Raichle, T. Brady, B. Rosen",peter_bandettini,1996-01-01,Proc. Natl. Acad. Sci. USA,93.0,14878-14883,,,,,,journal_article,,
The continuing challenge of understanding and modeling hemodynamic variation in fMRI,"D. Handwerker, J. Gonzalez-Castillo, M. D'Esposito, Peter Bandettini","daniel_handwerker, javier_gonzalez-castillo, peter_bandettini",2012-01-01,NeuroImage,62.0,1712-1719,,,,,,journal_article,,
The challenge of BWAs: Unknown unknowns in feature space and variance,"Peter Bandettini, Javier Gonzalez-Castillo, D.A. Handwerker, Paul Taylor, Gang Chen, Adam Thomas","peter_bandettini, javier_gonzalez-castillo, daniel_handwerker, adam_thomas",2022-01-01,Med,3.0,526-531,,,"The recent paper by Marek et al.1 has shown that, to capture brain-wide associations using fMRI and MRI measures, thousands of individuals are required. These results can be potentially misunderstood to imply that MRI or fMRI lack sensitivity or specificity. This commentary discusses the demonstrated sensitivity of fMRI and focuses on methodology that may allow improvements in BWA studies. While individual variation may be an ultimate constraint, refinements in acquisition, population selection, and processing may bring about higher correlations.",,,journal_article,10.1016/j.medj.2022.07.002,education
Ultra-slow fMRI fluctuations in the fourth ventricle as a marker of drowsiness,"Javier Gonzalez-Castillo, Isabel Fernandez, Daniel Handwerker, Peter Bandettini","javier_gonzalezcastillo, isabel_fernandez, dan_handwerker, peter_bandettini",2022-10-01,NeuroImage,259.0,119424,,,"Wakefulness levels modulate estimates of functional connectivity (FC), and, if unaccounted for, can become a substantial confound in resting-state fMRI. Unfortunately, wakefulness is rarely monitored due to the need for additional concurrent recordings (e.g., eye tracking, EEG). Recent work has shown that strong fluctuations around 0.05Hz, hypothesized to be CSF inflow, appear in the fourth ventricle (FV) when subjects fall asleep, and that they correlate significantly with the global signal. The analysis of these fluctuations could provide an easy way to evaluate wakefulness in fMRI-only data and improve our understanding of FC during sleep. Here we evaluate this possibility using the 7T resting-state sample from the Human Connectome Project (HCP). Our results replicate the observation that fourth ventricle ultra-slow fluctuations (∼0.05Hz) with inflow-like characteristics (decreasing in intensity for successive slices) are present in scans during which subjects did not comply with instructions to keep their eyes open (i.e., drowsy scans). This is true despite the HCP data not being optimized for the detection of inflow-like effects. In addition, time-locked BOLD fluctuations of the same frequency could be detected in large portions of grey matter with a wide range of temporal delays and contribute in significant ways to our understanding of how FC changes during sleep. First, these ultra-slow fluctuations explain half of the increase in global signal that occurs during descent into sleep. Similarly, global shifts in FC between awake and sleep states are driven by changes in this slow frequency band. Second, they can influence estimates of inter-regional FC. For example, disconnection between frontal and posterior components of the Defulat Mode Network (DMN) typically reported during sleep were only detectable after regression of these ultra-slow fluctuations. Finally, we report that the temporal evolution of the power spectrum of these ultra-slow FV fluctuations can help us reproduce sample-level sleep patterns (e.g., a substantial number of subjects descending into sleep 3 minutes following scanning onset), partially rank scans according to overall drowsiness levels, and predict individual segments of elevated drowsiness (at 60 seconds resolution) with 71% accuracy.",,https://github.com/nimh-sfim/hcp7t_fv_sleep,journal_article,10.1016/j.neuroimage.2022.119424,bold_connectivity_dynamics
Layer-dependent activity in human prefrontal cortex during working memory,"Emily Finn, Laurentius Huber, David Jangraw, Peter Molfese, Peter Bandettini","emily_finn, laurentius_huber, david_jangraw, peter_molfese, peter_bandettini",2019-01-01,Nature Neuroscience,22.0,1687-1695,,,,https://openneuro.org/datasets/ds002076/versions/1.0.1,https://github.com/layerfMRI/repository/tree/master/DLPFC_Emily,journal_article,10.1038/s41593-019-0487-z,layer_fmri
Mapping striate and extrastriate visual areas in human cerebral cortex,"E. DeYoe, G. Carman, Peter Bandettini, S. Glickman, J. Wieser, R. Cox, D. Miller, J. Neitz",peter_bandettini,1996-01-01,Proceedings of the National Academy of Sciences of the United States of America,93.0,2382-2386,,,,,,journal_article,,
No Replication of Direct Neuronal Activity-related (DIANA) fMRI in Anesthetized Mice,"Sang-Han Choi, Geun Im, Sangcheon Choi, Xin Yu, Peter Bandettini, Ravi Menon, Seong-Gi Kim",peter_bandettini,2024-03-27,Science Advances,10.0,,,,"Toi et al. (Science, 378, 160-168, 2022) reported direct imaging of neuronal activity (DIANA) by fMRI in anesthetized mice at 9.4 T, which could be a revolutionary approach for advancing systems neuroscience research. There have been no independent replications of this observation to date. We performed fMRI experiments in anesthetized mice at an ultrahigh field of 15.2 T using the identical protocol as in their paper. The BOLD response to whisker stimulation was reliably detected in the primary barrel cortex before and after DIANA experiments; however, no direct neuronal activity-like fMRI peak was observed in individual animals' data with the 50-300 trials used in the DIANA publication. Extensively averaged data involving 1,050 trials in 6 mice (1,050_54 = 56,700 stimulus events) and having a temporal signal-to-noise ratio of 7,370, showed a flat baseline and no detectable neuronal activity-like fMRI peak. Thus we were unable to replicate the previously reported results using the same methods, despite a much higher number of trials, a much higher temporal signal-to-noise ratio, and a much higher magnetic field strength. We were able to demonstrate spurious, non-replicable peaks when using a small number of trials. It was only when performing the inappropriate approach of excluding outliers not conforming to the expected temporal characteristics of the response did we see a clear signal change; however, these signals were not observed when such a outlier elimination approach was not used.",,,journal_article,10.1126/sciadv.adl0999,
The Effects of Aerobic Activity on Brain Structure,"A. Thomas, A. Dennis, Peter Bandettini, H. Johansen-Berg","adam_thomas, peter_bandettini",2012-01-01,Frontiers in Psychology,3.0,,,,,,,journal_article,10.3389/fpsyg.2012.00086,
Variation of BOLD hemodynamic responses across subjects and brain regions and their effects on statistical analyses,"Daniel Handwerker, OLLINGER J, M DESPOSITO",daniel_handwerker,2004-01-01,NeuroImage,21.0,1651,,,,,,journal_article,10.1016/j.neuroimage.2003.11.029,
The effect of respiration variations on independent component analysis of resting state functional connectivity,"R. Birn, K. Murphy, Peter Bandettini","rasmus_birn, kevin_murphy, peter_bandettini",2008-01-01,Human Brain Mapping,29.0,740-750,,,,,,journal_article,10.1002/hbm.20577,
Modulation of auditory and visual cortex by selective attention is modality-dependent,"P. Woodruff, R. Benson, Peter Bandettini, K. Kwong, R. Howard, T. Talavage, J. Belliveau, B. Rosen",peter_bandettini,1996-01-01,NeuroReport,7.0,1909-1913,,,,,,journal_article,,
Towards a new approach to reveal dynamical organization of the brain using topological data analysis,"M. Saggar, O. Sporns, J. Gonzalez-Castillo, Peter Bandettini, G. Carlsson, G. Glover, A.L. Reiss","javier_gonzalez-castillo, peter_bandettini",2018-01-01,Nature Communications,9.0,,,,"Little is known about how our brains dynamically adapt for efficient functioning. Most previous work has focused on analyzing changes in co-fluctuations between a set of brain regions over several temporal segments of the data. We argue that by collapsing data in space or time, we stand to lose useful information about the brain's dynamical organization. Here we use Topological Data Analysis to reveal the overall organization of whole-brain activity maps at a single-participant level - as an interactive representation - without arbitrarily collapsing data in space or time. Using existing multitask fMRI datasets, with the known ground truth about the timing of transitions from one task-block to next, our approach tracks both within- and between-task transitions at a much faster time scale (~4-9 s) than before. The individual differences in the revealed dynamical organization predict task performance. In summary, our approach distills complex brain dynamics into interactive and behaviorally relevant representations",,,journal_article,10.1038/s41467-018-03664-4,bold_connectivity_dynamics
Faraday rotation in the undergraduate advanced laboratory,"F. Pedrotti, Peter Bandettini",peter_bandettini,1990-01-01,American Journal of Physics,58.0,542-545,,,,,,journal_article,,
The Birth of Functional MRI at the Medical College of Wisconsin,Peter Bandettini,peter_bandettini,2015-01-01,fMRI: From Nuclear Spins to Brain Functions,30.0,18-Nov,,,,,,book_chapter,10.1007/978-1-4899-7591-1,
Face-identity change activation outside the face system: 'Release from Adaptation' may not always indicate neuronal selectivity,"M. Mur, D. Ruff, J. Bodurka, Peter Bandettini, N. Kriegeskorte","kevin_murphy, douglas_ruff, peter_bandettini, nicolaus_kriegeskorte",2010-01-01,Cerebral Cortex,20.0,2027-2042,,,,,,journal_article,,
Processing strategies for time-course data sets in functional MRI of the human brain,"Peter Bandettini, A. Jesmanowicz, E. Wong, J. Hyde",peter_bandettini,1993-01-01,Magnetic Resonance in Medicine,30.0,161-173,,,,,,journal_article,,
Integration of motion correction and physiological noise regression in fMRI,"T. Jones, Peter Bandettini, R. Birn","tyler_jones, peter_bandettini, rasmus_birn",2008-01-01,Neuroimage,42.0,582-590,,,,,,journal_article,,
Sub-millimeter fMRI reveals multiple topographical digit representations that form action maps in human motor cortex,"Laurentius Huber, Emily Finn, Daniel Handwerker, Marlene Bönstrup, Daniel Glen, Sriranga Kashyap, Dimo Ivanov, Natalia Petridou, Sean Marrett, Jozien Goense, Benedikt Poser, Peter Bandettini","laurentius_huber, emily_finn, daniel_handwerker, natalia_petridou, peter_bandettini",2020-01-01,NeuroImage,208.0,116463,,,,https://openneuro.org/datasets/ds002358/versions/1.0.0,,journal_article,10.1016/j.neuroimage.2019.116463,layer_fmri
Neural substrates of explicit and implicit fear memory,"D. Knight, N. Waters, Peter Bandettini","david_knight, najah_waters, peter_bandettini",2008-01-01,NeuroImage,,208-214,,,,,,journal_article,,
Cortically Coupled Computing: A New Paradigm for Synergistic Human-Machine Interaction,"Sameer Saproo, Josef Faller, Victor Shih, Paul Sajda, Nicholas Waytowich, Addison Bohannon, Vernon Lawhern, Brent Lance, David Jangraw",david_jangraw,2016-01-01,Computer,49.0,60-68,,,,,,journal_article,10.1109/MC.2016.294,
Reproducibility of fMRI activations associated with auditory sentence comprehension,"J. Gonzalez-Castillo, T. Talavage",javier_gonzalez-castillo,2011-01-01,NeuroImage,54.0,2138-55,,,"<p>The reproducibility of three different aspects of fMRI activations-namely binary activation maps, effect size and spatial distribution of local maxima-was evaluated for an auditory sentence comprehension task with high attention demand on a group of 17 subjects that were scanned on five different occasions. While in the scanner subjects were asked to listen to a series of six short everyday sentences from the CUNY sentence test. Comprehension and attention to the stimuli were monitored after each listen condition epoch by having subjects answer a series of multiple-choice questions. Statistical maps of activation for the listen condition were computed at three different levels: overall results for all imaging sessions, group-level/single-session results for each of the five imaging occasions, and single-subject/single-session results computed for each subject and each scanning occasion independently. The experimental task recruited a distributed bilateral network with processing nodes located in the lateral temporal cortex, inferior frontal cortex, medial BA6, medial occipital cortex and subcortical structures such as the putamen and the thalamus. Reproducibility of these activations at the group level was high (83.95% of the imaged volume was consistently classified as active/inactive across all five imaging sessions), indicating that sites of neuronal activity associated with auditory comprehension can reliably be detected with fMRI in healthy subjects, across repeated measures after group averaging. At the single-subject level reproducibility ranged from moderate to high, although no significant differences were found on behavioral measures across subjects or sessions. This result suggests that contextual differences-i.e., those specific to each imaging session, can modulate our ability to detect fMRI activations associated with speech comprehension in individual subjects.</p>",,,journal_article,,
Dynamic nonlinearities in BOLD contrast: neuronal or hemodynamic?,"Peter Bandettini, R. Birn, D. Kelley, Z. Saad","peter_bandettini, rasmus_birn, dan_kelley, ziad_saad",2002-01-01,Elsevier Excerpta Medica International Congress Series,1235.0,73-85,,,,,,journal_article,,
Experimental designs and processing strategies for fMRI studies involving overt verbal responses,"R. Birn, R. Cox, Peter Bandettini","rasmus_birn, peter_bandettini",2004-01-01,NeuroImage,23.0,1046-1058,,,,,,journal_article,,
Functional MRI,Peter Bandettini,peter_bandettini,2002-01-01,,,,,,,,,book_chapter,,
Efficacy of different dynamic functional connectivity methods to capture cognitively relevant information,"Xie H, Zheng CY, Daniel Handwerker, Peter Bandettini, Vince Calhoun, Mitra S","daniel_handwerker, peter_bandettini",2019-01-01,NeuroImage,,,,,,,,journal_article,https://doi.org/10.1016/j.neuroimage.2018.12.037,
"Time-Resolved Resting-State Functional Magnetic Resonance Imaging Analysis: Current Status, Challenges, and New Directions","Shella Keilholz, Cesar Caballero-Gaudes, Peter Bandettini, Gustavo Deco, Vince Calhoun",peter_bandettini,2017-01-01,Brain Connectivity,7.0,465-481,,,,,,journal_article,10.1089/brain.2017.0543,
Involvement of human left dorsolateral prefrontal cortex in perceptual decision making is independent of response modality,"H. Heekeren, S. Marrett, D. Ruff, Peter Bandettini, L. Ungerleider","hauke_heekeren, douglas_ruff, peter_bandettini",2006-01-01,Proceedings of the National Academy of Sciences of the United States of America,103.0,10023-10028,,,,,,journal_article,,
Differentiating BOLD and non-BOLD signals in fMRI time series using multi-echo EPI,"Prantik Kundu, Souheil Inati, Jennifer Evans, Wen-Ming Luh, Peter Bandettini","prantik_kundu, jennifer_evans, peter_bandettini",2012-01-01,NeuroImage,60.0,1759-1770,,,,,,journal_article,10.1016/j.neuroimage.2011.12.028,multi_echo
Physiological basis of vascular autocalibration (VasA): Comparison to hypercapnia calibration methods,"Samira Kazan, Laurentius Huber, Guillaume Flandin, Dimo Ivanov, Peter Bandettini, Nikolaus Weiskopf","laurentius_huber, peter_bandettini",2017-01-01,Magnetic Resonance in Medicine,,1168-1173,,,,,,journal_article,10.1002/mrm.v78.3,layer_fmri
Traveling and Standing waves in the brain,Javier Gonzalez-Castillo,javier_gonzalez-castillo,2022-07-28,Nature Neuroscience,25.0,,,,Studying the natural wanderings of the living brain is extremely challenging. Bolt et al. describe a new framework for considering the brain's intrinsic activity based on the geophysical concepts of standing and traveling waves.,,,journal_article,10.1038/s41593-022-01119-0,bold_connectivity_dynamics
Single-shot half k-space high-resolution gradient-recalled EPI for fMRI at 3 Tesla,"A. Jesmanowicz, Peter Bandettini, J. Hyde",peter_bandettini,1998-01-01,Magnetic Resonance in Medicine,40.0,754-762,,,,,,journal_article,,
Neural correlates of cognitive inflexibility during task-switching in obsessive-compulsive disorder,"G. Yoo, H. Jo, C. Kwon",hang_jo,2008-01-01,Brain,131.0,155-164,,,,,,journal_article,,
